numero campioni
 - Plot 0	frequenza - Plot 0	
267	25740	
268	25740	
269	25773.2	
270	25740	
271	25740	
272	25740	
273	25740	
274	25740	
275	25740	
276	25740	
277	25740	
278	25740	
279	25740	
280	25740	
281	25740	
282	25740	
283	25740	
284	25740	
285	25706.9	
286	25740	
287	25740	
288	25740	
289	25740	
290	25740	
291	25740	
292	25740	
293	25740	
294	25740	
295	25740	
296	25740	
297	25740	
298	25740	
299	25740	
300	25740	
301	25740	
302	25740	
303	25740	
304	25706.9	
305	25740	
306	25740	
307	25740	
308	25740	
309	25740	
310	25773.2	
311	25773.2	
312	25773.2	
313	25740	
314	25740	
315	25740	
316	25740	
317	25740	
318	25740	
319	25740	
320	25740	
321	25773.2	
322	25740	
323	25740	
324	25740	
325	25740	
326	25740	
327	25740	
328	25740	
329	25740	
330	25740	
331	25740	
332	25740	
333	25740	
334	25740	
335	25740	
336	25740	
337	25740	
338	25740	
339	25740	
340	25740	
341	25740	
342	25740	
343	25773.2	
344	25773.2	
345	25740	
346	25740	
347	25740	
348	25740	
349	25740	
350	25706.9	
351	25740	
352	25740	
353	25740	
354	25740	
355	25773.2	
356	25740	
357	25740	
358	25740	
359	25706.9	
360	25706.9	
361	25740	
362	25740	
363	25740	
364	25740	
365	25740	
366	25740	
367	25740	
368	25773.2	
369	25740	
370	25740	
371	25740	
372	25740	
373	25740	
374	25740	
375	25740	
376	25740	
377	25740	
378	25740	
379	25740	
380	25740	
381	25740	
382	25740	
383	25740	
384	25740	
385	25740	
386	25740	
387	25740	
388	25773.2	
389	25740	
390	25740	
391	25740	
392	25740	
393	25740	
394	25773.2	
395	25740	
396	25740	
397	25740	
398	25740	
399	25740	
400	25740	
401	25773.2	
402	25740	
403	25740	
404	25740	
405	25740	
406	25740	
407	25773.2	
408	25773.2	
409	25740	
410	25740	
411	25740	
412	25740	
413	25773.2	
414	25773.2	
415	25773.2	
416	25740	
417	25740	
418	25740	
419	25740	
420	25773.2	
421	25740	
422	25740	
423	25740	
424	25740	
425	25740	
426	25740	
427	25740	
428	25706.9	
429	25740	
430	25740	
431	25740	
432	25740	
433	25740	
434	25740	
435	25740	
436	25740	
437	25740	
438	25740	
439	25740	
440	25740	
441	25740	
442	25740	
443	25740	
444	25740	
445	25740	
446	25740	
447	25740	
448	25740	
449	25740	
450	25740	
451	25740	
452	25740	
453	25740	
454	25740	
455	25740	
456	25740	
457	25740	
458	25740	
459	25740	
460	25740	
461	25740	
462	25740	
463	25740	
464	25740	
465	25740	
466	25740	
467	25740	
468	25740	
469	25740	
470	25740	
471	25773.2	
472	25740	
473	25740	
474	25740	
475	25740	
476	25740	
477	25773.2	
478	25740	
479	25740	
480	25740	
481	25740	
482	25740	
483	25740	
484	25773.2	
485	25740	
486	25740	
487	25740	
488	25740	
489	25740	
490	25740	
491	25740	
492	25740	
493	25740	
494	25740	
495	25740	
496	25740	
497	25740	
498	25740	
499	25740	
