t0	03/03/2016  18:20:48.266762
delta t	0.000200

time	Y
03/03/2016  18:20:48.837362	2.656250
03/03/2016  18:20:48.837562	2.641602
03/03/2016  18:20:48.837762	2.639160
03/03/2016  18:20:48.837962	2.624512
03/03/2016  18:20:48.838162	2.624512
03/03/2016  18:20:48.838362	2.626953
03/03/2016  18:20:48.838562	2.609863
03/03/2016  18:20:48.838762	2.609863
03/03/2016  18:20:48.838962	2.595215
03/03/2016  18:20:48.839162	2.595215
03/03/2016  18:20:48.839362	2.592773
03/03/2016  18:20:48.839562	2.578125
03/03/2016  18:20:48.839762	2.578125
03/03/2016  18:20:48.839962	2.563477
03/03/2016  18:20:48.840162	2.561035
03/03/2016  18:20:48.840362	2.548828
03/03/2016  18:20:48.840562	2.546387
03/03/2016  18:20:48.840762	2.546387
03/03/2016  18:20:48.840962	2.529297
03/03/2016  18:20:48.841162	2.531738
03/03/2016  18:20:48.841362	2.517090
03/03/2016  18:20:48.841562	2.514648
03/03/2016  18:20:48.841762	2.514648
03/03/2016  18:20:48.841962	2.497559
03/03/2016  18:20:48.842162	2.500000
03/03/2016  18:20:48.842362	2.485352
03/03/2016  18:20:48.842562	2.485352
03/03/2016  18:20:48.842762	2.485352
03/03/2016  18:20:48.842962	2.468262
03/03/2016  18:20:48.843162	2.470703
03/03/2016  18:20:48.843362	2.453613
03/03/2016  18:20:48.843562	2.453613
03/03/2016  18:20:48.843762	2.453613
03/03/2016  18:20:48.843962	2.438965
03/03/2016  18:20:48.844162	2.436523
03/03/2016  18:20:48.844362	2.419434
03/03/2016  18:20:48.844562	2.421875
03/03/2016  18:20:48.844762	2.404785
03/03/2016  18:20:48.844962	2.404785
03/03/2016  18:20:48.845162	2.404785
03/03/2016  18:20:48.845362	2.392578
03/03/2016  18:20:48.845562	2.390137
03/03/2016  18:20:48.845762	2.375488
03/03/2016  18:20:48.845962	2.373047
03/03/2016  18:20:48.846162	2.373047
03/03/2016  18:20:48.846362	2.358398
03/03/2016  18:20:48.846562	2.358398
03/03/2016  18:20:48.846762	2.343750
03/03/2016  18:20:48.846962	2.343750
03/03/2016  18:20:48.847162	2.343750
03/03/2016  18:20:48.847362	2.326660
03/03/2016  18:20:48.847562	2.329102
03/03/2016  18:20:48.847762	2.314453
03/03/2016  18:20:48.847962	2.309570
03/03/2016  18:20:48.848162	2.312012
03/03/2016  18:20:48.848362	2.297363
03/03/2016  18:20:48.848562	2.294922
03/03/2016  18:20:48.848762	2.280273
03/03/2016  18:20:48.848962	2.275391
03/03/2016  18:20:48.849162	2.265625
03/03/2016  18:20:48.849362	2.265625
03/03/2016  18:20:48.849562	2.263184
03/03/2016  18:20:48.849762	2.248535
03/03/2016  18:20:48.849962	2.248535
03/03/2016  18:20:48.850162	2.233887
03/03/2016  18:20:48.850362	2.233887
03/03/2016  18:20:48.850562	2.233887
03/03/2016  18:20:48.850762	2.219238
03/03/2016  18:20:48.850962	2.216797
03/03/2016  18:20:48.851162	2.202148
03/03/2016  18:20:48.851362	2.202148
03/03/2016  18:20:48.851562	2.202148
03/03/2016  18:20:48.851762	2.185059
03/03/2016  18:20:48.851962	2.189941
03/03/2016  18:20:48.852162	2.172852
03/03/2016  18:20:48.852362	2.172852
03/03/2016  18:20:48.852562	2.172852
03/03/2016  18:20:48.852762	2.155762
03/03/2016  18:20:48.852962	2.155762
03/03/2016  18:20:48.853162	2.141113
03/03/2016  18:20:48.853362	2.138672
03/03/2016  18:20:48.853562	2.124023
03/03/2016  18:20:48.853762	2.124023
03/03/2016  18:20:48.853962	2.124023
03/03/2016  18:20:48.854162	2.109375
03/03/2016  18:20:48.854362	2.109375
03/03/2016  18:20:48.854562	2.094727
03/03/2016  18:20:48.854762	2.092285
03/03/2016  18:20:48.854962	2.092285
03/03/2016  18:20:48.855162	2.077637
03/03/2016  18:20:48.855362	2.077637
03/03/2016  18:20:48.855562	2.060547
03/03/2016  18:20:48.855762	2.060547
03/03/2016  18:20:48.855962	2.060547
03/03/2016  18:20:48.856162	2.045898
03/03/2016  18:20:48.856362	2.045898
03/03/2016  18:20:48.856562	2.031250
03/03/2016  18:20:48.856762	2.031250
03/03/2016  18:20:48.856962	2.028809
03/03/2016  18:20:48.857162	2.014160
03/03/2016  18:20:48.857362	2.014160
03/03/2016  18:20:48.857562	1.999512
03/03/2016  18:20:48.857762	1.997070
03/03/2016  18:20:48.857962	1.982422
03/03/2016  18:20:48.858162	1.982422
03/03/2016  18:20:48.858362	1.984863
03/03/2016  18:20:48.858562	1.967773
03/03/2016  18:20:48.858762	1.967773
03/03/2016  18:20:48.858962	1.950684
03/03/2016  18:20:48.859162	1.950684
03/03/2016  18:20:48.859362	1.950684
03/03/2016  18:20:48.859562	1.938477
03/03/2016  18:20:48.859762	1.933594
03/03/2016  18:20:48.859962	1.921387
03/03/2016  18:20:48.860162	1.921387
03/03/2016  18:20:48.860362	1.921387
03/03/2016  18:20:48.860562	1.904297
