Time - Plot 0	Amplitude - Plot 0	
113	0.00561523	
114	0.00532227	
115	0.00549316	
116	0.00588379	
117	0.00568848	
118	0.00563965	
119	0.00554199	
120	0.00583496	
121	0.00571289	
122	0.00578613	
123	0.00537109	
124	0.00578613	
125	0.00588379	
126	0.00554199	
127	0.00532227	
128	0.00537109	
129	0.00563965	
130	0.00551758	
131	0.00532227	
132	0.00522461	
133	0.00583496	
134	0.00554199	
135	0.00527344	
136	0.00524902	
137	0.00566406	
138	0.00549316	
139	0.00544434	
140	0.00522461	
141	0.00551758	
142	0.00554199	
143	0.00546875	
144	0.00534668	
145	0.00549316	
146	0.00585937	
147	0.00556641	
148	0.00529785	
149	0.00546875	
150	0.00563965	
151	0.00561523	
152	0.00522461	
153	0.00515137	
154	0.00544434	
155	0.00537109	
156	0.0050293	
157	0.00512695	
158	0.00539551	
159	0.00559082	
160	0.00544434	
161	0.00515137	
162	0.00539551	
163	0.00559082	
164	0.00529785	
165	0.00510254	
166	0.00510254	
167	0.00541992	
168	0.0050293	
169	0.00480957	
170	0.00495605	
171	0.00534668	
172	0.00532227	
173	0.00495605	
174	0.00493164	
175	0.00539551	
176	0.00517578	
177	0.00505371	
178	0.00490723	
179	0.00510254	
180	0.00527344	
181	0.00515137	
182	0.00478516	
183	0.00488281	
184	0.00527344	
185	0.00507813	
186	0.00483398	
187	0.00495605	
188	0.00529785	
189	0.0052002	
190	0.00495605	
191	0.00495605	
192	0.0052002	
193	0.00532227	
194	0.00500488	
195	0.0048584	
196	0.00532227	
197	0.00527344	
198	0.0050293	
199	0.0050293	
200	0.00505371	
201	0.00549316	
202	0.00524902	
203	0.00483398	
204	0.00500488	
205	0.00546875	
206	0.00510254	
207	0.00500488	
208	0.00498047	
209	0.00541992	
210	0.00534668	
211	0.0052002	
212	0.00505371	
213	0.00527344	
214	0.00554199	
215	0.00527344	
216	0.00507813	
217	0.00537109	
218	0.00556641	
219	0.00541992	
220	0.00527344	
221	0.00517578	
222	0.00583496	
223	0.00571289	
224	0.00532227	
225	0.00563965	
226	0.00581055	
227	0.00576172	
228	0.00549316	
229	0.00561523	
230	0.00568848	
231	0.00588379	
232	0.00563965	
233	0.00566406	
234	0.00581055	
235	0.00612793	
236	0.00559082	
237	0.00566406	
238	0.00581055	
239	0.00605469	
240	0.00585937	
241	0.00583496	
242	0.00563965	
243	0.0060791	
244	0.00603027	
245	0.00554199	
246	0.00578613	
247	0.00598145	
248	0.00595703	
249	0.00578613	
250	0.00566406	
251	0.00583496	
252	0.00605469	
253	0.00578613	
254	0.00559082	
255	0.00576172	
256	0.00610352	
257	0.00581055	
258	0.00551758	
259	0.00576172	
260	0.00600586	
261	0.0059082	
262	0.00571289	
263	0.00556641	
264	0.00588379	
265	0.00600586	
266	0.00561523	
267	0.00576172	
268	0.00585937	
269	0.00585937	
270	0.0057373	
271	0.00549316	
272	0.00566406	
273	0.00598145	
274	0.00568848	
275	0.00551758	
276	0.00561523	
277	0.00593262	
278	0.0057373	
279	0.00539551	
280	0.00568848	
281	0.00583496	
282	0.00576172	
283	0.00559082	
284	0.00537109	
285	0.00585937	
286	0.00585937	
287	0.00546875	
288	0.00556641	
289	0.00556641	
290	0.00578613	
291	0.0057373	
292	0.00529785	
293	0.00559082	
294	0.0059082	
295	0.00566406	
296	0.00544434	
297	0.00544434	
298	0.00588379	
299	0.00581055	
300	0.00544434	
301	0.00556641	
302	0.00563965	
303	0.00581055	
304	0.00568848	
305	0.00537109	
306	0.00583496	
307	0.00581055	
308	0.00556641	
309	0.00556641	
310	0.00566406	
311	0.00581055	
312	0.00585937	
313	0.00527344	
314	0.0057373	
315	0.00585937	
316	0.00576172	
317	0.00541992	
318	0.00566406	
319	0.00595703	
320	0.00598145	
321	0.00554199	
322	0.00571289	
323	0.0057373	
324	0.00612793	
325	0.0059082	
326	0.00563965	
327	0.0059082	
328	0.00595703	
329	0.00576172	
330	0.00571289	
331	0.00546875	
332	0.00603027	
333	0.0059082	
334	0.00549316	
335	0.0057373	
336	0.00600586	
337	0.0059082	
338	0.00576172	
339	0.00576172	
340	0.00598145	
341	0.00622559	
342	0.00617676	
343	0.00595703	
344	0.00625	
345	0.0064209	
346	0.00625	
347	0.0059082	
348	0.00622559	
349	0.00622559	
350	0.00622559	
351	0.00603027	
352	0.00605469	
353	0.00634766	
354	0.00637207	
355	0.0059082	
356	0.00617676	
357	0.00634766	
358	0.00637207	
359	0.00615234	
360	0.00615234	
361	0.00617676	
362	0.00629883	
363	0.00627441	
364	0.00593262	
365	0.00610352	
366	0.00627441	
367	0.00600586	
368	0.00566406	
369	0.00603027	
370	0.00603027	
371	0.00612793	
372	0.00593262	
373	0.00585937	
374	0.00615234	
375	0.00620117	
376	0.00585937	
377	0.0059082	
378	0.00612793	
379	0.00615234	
380	0.00598145	
381	0.00581055	
382	0.0059082	
383	0.00603027	
384	0.00610352	
385	0.00568848	
386	0.0057373	
387	0.00617676	
388	0.00588379	
389	0.00556641	
390	0.00600586	
391	0.00595703	
392	0.00600586	
393	0.00588379	
394	0.00563965	
395	0.00598145	
396	0.00605469	
397	0.00583496	
398	0.00571289	
399	0.00583496	
400	0.0060791	
401	0.00588379	
402	0.00563965	
403	0.00566406	
404	0.00598145	
405	0.00578613	
406	0.00554199	
407	0.00559082	
408	0.00598145	
409	0.00578613	
410	0.00561523	
411	0.00549316	
412	0.00571289	
413	0.00585937	
414	0.00585937	
415	0.00546875	
416	0.00588379	
417	0.00588379	
418	0.0057373	
419	0.00556641	
420	0.00566406	
421	0.00585937	
422	0.0059082	
423	0.00534668	
424	0.00571289	
425	0.00605469	
426	0.00583496	
427	0.00568848	
428	0.00561523	
429	0.0059082	
430	0.0059082	
431	0.00566406	
432	0.00556641	
433	0.00578613	
434	0.0059082	
435	0.00583496	
436	0.00544434	
437	0.00578613	
438	0.00568848	
439	0.00571289	
440	0.00566406	
441	0.00578613	
442	0.00612793	
443	0.0060791	
444	0.00561523	
445	0.00571289	
446	0.0060791	
447	0.00581055	
448	0.00593262	
449	0.00563965	
450	0.00588379	
451	0.00600586	
452	0.00578613	
453	0.00566406	
454	0.00578613	
455	0.0060791	
456	0.00583496	
457	0.00551758	
458	0.00585937	
459	0.00600586	
460	0.00600586	
461	0.00585937	
462	0.00561523	
463	0.00595703	
464	0.0060791	
465	0.00561523	
466	0.0059082	
467	0.00617676	
468	0.00612793	
469	0.00605469	
470	0.0059082	
471	0.00600586	
472	0.00629883	
473	0.00603027	
474	0.00593262	
475	0.00585937	
476	0.00625	
477	0.00595703	
478	0.0057373	
479	0.00603027	
480	0.00625	
481	0.00615234	
482	0.00605469	
483	0.00566406	
484	0.00632324	
485	0.00629883	
486	0.00600586	
487	0.00581055	
488	0.00600586	
489	0.00610352	
490	0.00612793	
491	0.00581055	
492	0.00593262	
493	0.00622559	
494	0.00612793	
495	0.00581055	
496	0.00578613	
497	0.00634766	
498	0.00612793	
499	0.00585937	
