#time	ch1	delta1	ch2	delta2
1282	-0.072583	0.00118628842867	-0.03964843	0.00387128908919
1292	-0.07277832	0.0012180161902	-0.03950195	0.0037470702871
1302	-0.07426756	0.00138020159846	-0.0411377	0.0028706096997
1312	-0.07451171	0.00216942264045	-0.03835448	0.00325073656755
1322	-0.07568359	0.00105293307522	-0.04069825	0.0033900372509
1332	-0.07526856	0.00192564389865	-0.03942871	0.00317992716283
1342	-0.07785644	0.00153421864035	-0.03984373	0.00364710481973
1352	-0.0782959	0.00136827215641	-0.04035645	0.00368328752862
1362	-0.07963866	0.00162972643115	-0.0401123	0.00284934226375
1372	-0.07968749	0.00186954817774	-0.04133299	0.00368490276058
1382	-0.08127441	0.00181537533554	-0.04150391	0.0037073990326
1392	-0.08156737	0.00150281455679	-0.04196777	0.00328539055062
1402	-0.082959	0.00132738427217	-0.04135741	0.00339734434211
1412	-0.0845215	0.00142273191712	-0.04008789	0.00420857325431
1422	-0.08479005	0.00176067032249	-0.0411377	0.00326499579847
1432	-0.08503417	0.00119628346979	-0.04106446	0.00376925967697
1442	-0.08562013	0.000764670717433	-0.0409424	0.00300807879185
1452	-0.08686522	0.00183610665801	-0.04174805	0.00346988909196
1462	-0.08666993	0.0014688904003	-0.04128417	0.00321942016396
1472	-0.08867188	0.00134521528299	-0.0409668	0.00365526754643
1482	-0.08930662	0.00172909346815	-0.04143067	0.00335823652027
1492	-0.09008787	0.000699111265894	-0.04118651	0.00335647791038
1502	-0.08940428	0.00190304697777	-0.04177247	0.00342572622696
1512	-0.09199218	0.00248928134963	-0.0421875	0.00293536039321
1522	-0.09245606	0.0015557969676	-0.04301758	0.00301748267461
1532	-0.09282228	0.00183933038403	-0.04189454	0.00370452223457
1542	-0.09470213	0.00114225351656	-0.04279785	0.00335292064274
1552	-0.0942871	0.00169427513645	-0.04226075	0.00360212466282
1562	-0.09675292	0.00193796032973	-0.04191893	0.00364913306308
1572	-0.0979004	0.00170199974501	-0.04326171	0.00346092924673
1582	-0.09809574	0.000969281582617	-0.04199219	0.00344749822174
1592	-0.09853507	0.00210347300056	-0.04238281	0.00398808539338
1602	-0.09948733	0.00154892303815	-0.04199217	0.00336878786659
1612	-0.10046384	0.00181465460967	-0.043042	0.00331356982543
1622	-0.10241702	0.00150997023931	-0.04191895	0.00354138000481
1632	-0.1047364	0.00104727285843	-0.04304199	0.00319078055167
1642	-0.1042724	0.00219039102445	-0.04416502	0.00312356862124
1652	-0.1054931	0.00117810275019	-0.042334	0.00347022379048
1662	-0.1069091	0.00131236957066	-0.0451416	0.00283971876213
1672	-0.1082277	0.00131938599735	-0.0435791	0.0032338136344
1682	-0.1105223	0.00153665897648	-0.04370115	0.00305126584166
1692	-0.1109375	0.00127425776435	-0.04396972	0.00280804389702
