#time	ch1	ch2	lambda	delta
2222.0	-0.03891602	-0.011132818	512.0	30.0
2232.0	-0.03947755	-0.012060552	514.0	37.0
2242.0	-0.03918457	-0.011767576	513.0	25.0
2252.0	-0.03994141	-0.012377937	515.0	34.0
2262.0	-0.03999023	-0.0121338	514.0	34.0
2272.0	-0.03937987	-0.012841801	518.0	41.0
2282.0	-0.04101561	-0.013671866	519.0	32.0
2292.0	-0.04064941	-0.01447755	522.0	30.0
2302.0	-0.04152831	-0.01520996	524.0	34.0
2312.0	-0.04125976	-0.014672842	522.0	31.0
2322.0	-0.04316406	-0.015747078	524.0	27.0
2332.0	-0.04411621	-0.0190918	534.0	31.0
2342.0	-0.04558106	-0.01726075	526.0	24.0
2352.0	-0.04599611	-0.01918946	531.0	33.0
2362.0	-0.04638673	-0.02053221	536.0	32.0
2372.0	-0.04809571	-0.02014161	532.0	26.0
2382.0	-0.04768065	-0.02126464	536.0	34.0
2392.0	-0.04941407	-0.02211914	536.0	22.0
2402.0	-0.05100097	-0.02351075	538.0	28.0
2412.0	-0.05039063	-0.02402344	541.0	30.0
2422.0	-0.05180664	-0.02460937	541.0	22.0
2432.0	-0.05205078	-0.02790527	549.0	22.0
2442.0	-0.05332032	-0.0269287	545.0	27.0
2452.0	-0.05429687	-0.02897948	549.0	26.0
2462.0	-0.05500488	-0.02980956	550.0	22.0
2472.0	-0.05615234	-0.02893066	546.0	24.0
2482.0	-0.05776365	-0.03134765	550.0	16.0
2492.0	-0.05783691	-0.03181152	552.0	19.0
2502.0	-0.05917968	-0.03183594	550.0	23.0
2512.0	-0.05856933	-0.03378904	555.0	23.0
2522.0	-0.06135254	-0.03525389	555.0	17.0
2532.0	-0.06184083	-0.03491211	553.0	19.0
2542.0	-0.06269531	-0.03835448	560.0	23.0
2552.0	-0.06379395	-0.0385254	559.0	21.0
2562.0	-0.06618651	-0.03952638	558.0	21.0
2572.0	-0.06655274	-0.04187012	563.0	20.0
2582.0	-0.06940917	-0.04289551	561.0	18.0
2592.0	-0.06896975	-0.04553222	567.0	16.0
2602.0	-0.07089844	-0.04711913	567.0	19.0
2612.0	-0.07209473	-0.04804686	568.0	16.0
2622.0	-0.0730957	-0.050708	571.0	16.0
2632.0	-0.07458496	-0.05029295	569.0	14.0
2642.0	-0.07687989	-0.05405273	572.0	14.0
2652.0	-0.07863768	-0.05551757	573.0	13.0
2662.0	-0.08234863	-0.05776367	572.0	14.0
2672.0	-0.08469238	-0.06115723	575.0	14.0
2682.0	-0.08688964	-0.06303709	575.0	13.0
2692.0	-0.08969727	-0.06862793	580.0	10.0
2702.0	-0.08962402	-0.06877441	580.0	13.0
2712.0	-0.08913575	-0.06848145	580.0	11.0
2722.0	-0.08847656	-0.06931152	582.0	13.0
2732.0	-0.08825683	-0.0682617	581.0	10.0
2742.0	-0.08591308	-0.06953126	585.0	15.0
2752.0	-0.08510742	-0.06855468	585.0	10.0
2762.0	-0.08312988	-0.06813966	586.0	15.0
2772.0	-0.08215332	-0.06835937	588.0	12.0
2782.0	-0.08210447	-0.0673584	586.0	11.0
2792.0	-0.08095703	-0.06882326	590.0	16.0
2802.0	-0.07941894	-0.06733398	590.0	15.0
2812.0	-0.07854004	-0.06730957	591.0	14.0
2822.0	-0.07761229	-0.06704102	592.0	15.0
2832.0	-0.07558594	-0.06640623	593.0	13.0
2842.0	-0.07629396	-0.06779786	594.0	11.0
2852.0	-0.07514648	-0.06818849	596.0	13.0
2862.0	-0.07382812	-0.0671631	597.0	15.0
2872.0	-0.07373047	-0.06767577	598.0	11.0
2882.0	-0.07141113	-0.06655273	599.0	13.0
2892.0	-0.07053223	-0.06826172	602.0	12.0
2902.0	-0.06965332	-0.06684571	602.0	14.0
2912.0	-0.06972657	-0.0656494	600.0	13.0
2922.0	-0.069458	-0.06735839	602.0	13.0
2932.0	-0.06760255	-0.06513673	602.0	9.0
2942.0	-0.06708984	-0.06618651	604.0	14.0
2952.0	-0.06621094	-0.06589356	605.0	12.0
2962.0	-0.06621094	-0.06594239	605.0	19.0
2972.0	-0.06472167	-0.06623536	607.0	17.0
2982.0	-0.06364745	-0.06525879	607.0	15.0
2992.0	-0.06340332	-0.06733398	611.0	13.0
3002.0	-0.06250001	-0.06586914	609.0	17.0
3012.0	-0.06262207	-0.06545409	609.0	16.0
3022.0	-0.06147462	-0.06577148	612.0	17.0
3032.0	-0.05942382	-0.0654541	615.0	19.0
3042.0	-0.05930175	-0.06535644	615.0	18.0
3052.0	-0.05698242	-0.06547851	619.0	18.0
3062.0	-0.05625	-0.06469728	620.0	18.0
3072.0	-0.05634766	-0.06501464	620.0	17.0
3082.0	-0.05471191	-0.06530762	624.0	18.0
3092.0	-0.05322264	-0.06486818	626.0	16.0
3102.0	-0.05339355	-0.06584475	627.0	18.0
3112.0	-0.05339356	-0.06474609	625.0	16.0
3122.0	-0.0520996	-0.0647461	627.0	11.0
3132.0	-0.05224609	-0.06398926	626.0	15.0
3142.0	-0.05139159	-0.06550292	629.0	15.0
3152.0	-0.05083008	-0.06464843	629.0	13.0
3162.0	-0.04941406	-0.06418458	631.0	16.0
3172.0	-0.05146484	-0.06530762	629.0	17.0
3182.0	-0.05153808	-0.06433107	628.0	16.0
3192.0	-0.0508545	-0.06472169	629.0	18.0
3212.0	0.0010986303	-0.006835944	800.0	202.0
3222.0	0.0009277333	-0.007104489	822.0	79.0
3232.0	0.0002685537	-0.0064453119	918.0	114.0
3242.0	0.0014648422	-0.008203125	790.0	73.0
3252.0	0.0017822271	-0.006152345	736.0	18.0
3262.0	0.0022216804	-0.007128906	727.0	62.0
3272.0	0.0004394517	-0.0084472692	904.0	136.0
3282.0	0.0013671894	-0.0061523322	766.0	94.0
3292.0	0.000683592	-0.006591793	844.0	184.0
3302.0	0.0007812504	-0.007568359	845.0	184.0
3312.0	0.0005371102	-0.0051513582	841.0	183.0
3322.0	0.0013916019	-0.007690429	789.0	180.0
3332.0	0.0013916017	-0.006298833	766.0	45.0
3342.0	0.0010742194	-0.0064208903	794.0	185.0
3352.0	0.0013916007	-0.007690428	789.0	155.0
3362.0	0.0009277342	-0.007568345	828.0	127.0
3372.0	0.000781251	-0.00583496	817.0	197.0
3382.0	0.0005126966	-0.009887699	904.0	136.0
3392.0	0.0008056629	-0.006982419	835.0	187.0
3402.0	0.0006347654	-0.0068603539	857.0	180.0
3412.0	0.0012695321	-0.005688481	766.0	144.0
3422.0	0.000512696	-0.006225591	864.0	171.0
3432.0	0.000415038	-0.005737308	877.0	166.0
3442.0	0.0003173825	-0.007885742	920.0	112.0
3452.0	0.0016601569	-0.0075927842	767.0	46.0
